file name,line count, actual content line count,number of revisions,lines per revision
npm/npmjs/-/edge-cs.yaml,14,9,3,3
npm/npmjs/-/edge.yaml,11,6,2,3
npm/npmjs/-/emitter-component.yaml,8,3,1,3
npm/npmjs/-/engine.io-client.yaml,8,3,1,3
npm/npmjs/-/engine.io.yaml,8,3,1,3
npm/npmjs/-/enhanced-resolve.yaml,14,9,3,3
npm/npmjs/-/entities.yaml,11,6,2,3
npm/npmjs/-/enzyme.yaml,15,9,1,9
npm/npmjs/-/es5-ext.yaml,8,3,1,3
npm/npmjs/-/es6-templates.yaml,8,3,1,3
npm/npmjs/-/escodegen.yaml,17,12,4,3
npm/npmjs/-/esmangle-evaluator.yaml,8,3,1,3
npm/npmjs/-/esprima-fb.yaml,8,3,1,3
npm/npmjs/-/esprima.yaml,17,12,4,3
npm/npmjs/-/estraverse.yaml,20,15,5,3
npm/npmjs/-/esutils.yaml,11,6,2,3
npm/npmjs/-/event-emitter.yaml,8,3,1,3
npm/npmjs/-/event-stream.yaml,11,6,2,3
npm/npmjs/-/example.yaml,8,3,1,3
npm/npmjs/-/expect.js.yaml,8,3,1,3
npm/npmjs/-/expiring-lru-cache.yaml,8,3,1,3
npm/npmjs/-/expose-loader.yaml,8,3,1,3
npm/npmjs/-/extend.yaml,8,3,1,3
npm/npmjs/-/extract-opts.yaml,8,3,1,3
npm/npmjs/-/findup.yaml,8,3,1,3
npm/npmjs/-/flat-colors.yaml,8,3,1,3
npm/npmjs/-/fmt.yaml,8,3,1,3
npm/npmjs/-/for-each.yaml,8,3,1,3
npm/npmjs/-/format.yaml,8,3,1,3
npm/npmjs/-/ftp.yaml,8,3,1,3
npm/npmjs/-/getobject.yaml,8,3,1,3
npm/npmjs/-/glob2base.yaml,8,3,1,3
npm/npmjs/-/global.yaml,8,3,1,3
npm/npmjs/-/glob-stream.yaml,8,3,1,3
npm/npmjs/-/glob-to-regexp.yaml,8,3,1,3
npm/npmjs/-/glob.yaml,17,12,2,6
npm/npmjs/-/graceful-fs.yaml,9,4,1,4
npm/npmjs/-/gulp-jsinspect.yaml,14,9,1,9
npm/npmjs/-/gulp-rename.yaml,8,3,1,3
npm/npmjs/-/has.yaml,8,3,1,3
npm/npmjs/-/heap.yaml,8,3,1,3
npm/npmjs/-/hoist-non-react-statics.yaml,8,3,1,3
npm/npmjs/-/indexof.yaml,8,3,1,3
npm/npmjs/-/individual.yaml,8,3,1,3
npm/npmjs/-/inherits.yaml,8,3,1,3
npm/npmjs/-/jison-lex.yaml,8,3,1,3
npm/npmjs/-/jison.yaml,8,3,1,3
npm/npmjs/-/jmespath.yaml,8,3,1,3
npm/npmjs/-/jquery-mousewheel.yaml,8,3,1,3
npm/npmjs/-/js-base64.yaml,8,3,1,3
npm/npmjs/-/jsbn.yaml,8,3,1,3
npm/npmjs/-/jsesc.yaml,8,3,1,3
