file name,length of longest curation,full length of curations,number of lines,revision,number of revisions
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.4.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.4.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.3.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.2.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.1.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.0.2",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.0.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.0.0-alpha1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"6.0.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.6.5",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.6.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.6.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.5.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.4.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.3.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.3.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.2.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.0.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"5.0.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.5.8",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.5.5",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.5.4",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.5.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.4.7",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.4.6",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.4.5",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.4.2",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.4.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.4.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.3.3",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.3.2",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.3.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"2.0.5",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.9.2",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.9.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.9.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.8.3",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.8.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.7.2",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.7.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.7.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.6.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.5.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.4.3",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.4.0",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.3.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.1.2",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.1.1",57
nuget/nuget/-/Elasticsearch.Net.yaml,2,171,176,"1.0.1",57
nuget/nuget/-/WindowsAzure.Storage.yaml,2,168,173,"9.3.3",56
